"","name","age","mw","league","year","points","ranking","logmw"
"162","Werder Bremen",24,3.86,"1. Bundesliga",2011,41,13,1.35066718347674
"163","Schalke 04",24.2,3.88,"1. Bundesliga",2011,40,14,1.35583515363518
"164","Hamburg",24.9,4.41,"1. Bundesliga",2011,45,8,1.48387468945875
"165","Dortmund",23.8,3.7,"1. Bundesliga",2011,75,1,1.30833281965018
"166","Stuttgart",24.3,3.23,"1. Bundesliga",2011,42,12,1.17248213723457
"167","Hoffenheim",22.8,2.89,"1. Bundesliga",2011,43,11,1.06125650212434
"168","M'gladbach",24.8,2.04,"1. Bundesliga",2011,36,16,0.712949807856125
"169","FC Koln",24.2,1.64,"1. Bundesliga",2011,44,9,0.494696241836107
"170","Ein Frankfurt",24.2,1.83,"1. Bundesliga",2011,34,17,0.60431596685333
"171","Mainz",25.9,1.63,"1. Bundesliga",2011,58,5,0.488580014818671
"172","Hannover",25.1,1.59,"1. Bundesliga",2011,60,4,0.46373401623214
"173","Freiburg",24.3,1.34,"1. Bundesliga",2011,44,10,0.29266961396282
"174","Nurnberg",23.5,1.22,"1. Bundesliga",2011,47,6,0.198850858745165
"175","Kaiserslautern",23.9,1.24,"1. Bundesliga",2011,46,7,0.215111379616945
"176","St Pauli",25.8,0.997,"1. Bundesliga",2011,29,18,-0.00300450902029872
"177","Lyon",23.1,7.25,"Ligue 1",2011,64,3,1.98100146886658
"178","Marseille",25.1,5.29,"Ligue 1",2011,68,2,1.66581824587021
"179","Bordeaux",23.8,4.18,"Ligue 1",2011,51,7,1.43031124653666
"180","Paris SG",25.4,3.68,"Ligue 1",2011,60,4,1.30291275218084
"181","Lille",24.2,3.62,"Ligue 1",2011,76,1,1.28647402583768
"182","Monaco",23.6,2.48,"Ligue 1",2011,44,18,0.908258560176891
"183","Rennes",22.7,2.7,"Ligue 1",2011,56,6,0.993251773010283
"184","Toulouse",22.9,2.52,"Ligue 1",2011,50,8,0.924258901523332
"185","St Etienne",23.8,2.25,"Ligue 1",2011,49,11,0.810930216216329
"186","Nice",24.4,1.78,"Ligue 1",2011,46,15,0.576613364303994
"187","Auxerre",23.3,1.55,"Ligue 1",2011,49,9,0.438254930931155
"188","Nancy",25.2,1.96,"Ligue 1",2011,48,12,0.672944473242426
"189","Valenciennes",24.1,1.45,"Ligue 1",2011,48,13,0.371563556432483
"190","Lorient",24.3,1.61,"Ligue 1",2011,49,10,0.476234178996372
"191","Montpellier",24.2,1.5,"Ligue 1",2011,47,14,0.405465108108164
"192","Lens",23.7,1.23,"Ligue 1",2011,35,19,0.207014169384326
"193","Sochaux",23.1,1.48,"Ligue 1",2011,58,5,0.392042087776024
